id,restaurant_id,work_hour
1,8af70968-0814-4b2c-a20e-8f18ea0d4d55,Aug-24
2,bb13c4c0-8887-4560-bd2d-2022ddbda1db,Dec-24
3,fff5d12c-e6a0-499f-90ed-5903f773aa71,Nov-23
4,31a5e115-b6eb-4a42-9517-f69f5c6ef386,Dec-24
5,717e212c-2993-4cb2-a5ca-e216a597b4fc,19-22:30
6,2f8492fd-6d3b-4bf2-9a60-c24c122094de,Dec-23
7,d49cb3be-43a6-44b5-b70e-eb6529efe6e0,Sep-23
8,715ba562-741c-4a46-8a7b-b0993ef47600,9-23:30
9,09a710a9-bc8a-4a57-9bd9-0a28d63e6145,Nov-23
10,4eb435cc-0fa6-4523-89f6-48c2bc33e373,12:30-16:30/20-22:30
11,d9814be0-0a4a-4732-99f7-ffe8c740927a,Sep-24
12,1c3df79f-c74e-459d-89ed-bb8090153561,Dec-23
13,b5a31b6d-1a19-43ee-aa0b-20614aa0a121,Oct-23
14,cf62057e-8259-43d8-8ce2-8706b5a64479,Oct-23
15,47cf9dbc-578c-41eb-814f-33eade72bf60,Oct-22
16,140e775f-7385-4aac-9551-596a6b1a16f4,11:30-23
17,1ca2a9c5-4680-4d6e-8303-a1ac56c25c5e,Aug-16
18,518d2c5c-904b-436e-9052-f524b2845b4f,12:30-16:30
19,bd4b841a-1896-4d2d-bda5-aea2ef3793a7,Oct-23
20,98d2ce6f-ae54-46d8-9faa-bc36765ec4c4,Oct-23
21,e76582a3-2f29-44b2-9b23-ce0e005f4f8b,Dec-23
22,b1e0d2b0-b86c-4c02-838e-22c1b4e14308,Dec-23
23,38a92d34-8301-4699-b0b3-df6f7fc60a53,Dec-23
24,667e870d-9c55-4ed8-909a-a4dd57a82d5e,رستوران
25,2d150da4-e80d-43af-9c7d-cd42f8ea5786,Dec-23
26,8b04011c-edae-43ad-ac0e-fc83ce7071f8,Nov-23
27,05f33a25-580a-49e4-af62-43874de5bfe4,Nov-23
28,08f9de87-399f-49ca-8734-ba632dbdbc16,Nov-23
29,dc1d5920-da3e-4bbe-8dce-76c2a595497a,Nov-23
30,0ae80967-6756-4b97-aed7-4468c7b47e2a,11-23:30
31,034894cb-00bb-4f9b-a218-9dd998280fda,9-23:45
32,8ebcb6da-9d6c-4a69-9dc8-fcbc689d1a83,Nov-24
33,7ed4a732-0e15-424e-a9da-421c0fe2d90c,8:30-21
34,cc4c9ff5-2791-4e18-942a-db0e683b3443,Nov-24
35,a6224241-e669-4ec0-99d3-d9435defaa42,11:30-23
36,2669abad-9e48-49a6-b11d-7a0035b064e1,11:30-23
37,2259a7a2-0fdf-465b-b84b-ce01bfa4d2d4,Dec-24
38,221b4c9c-258d-4f95-9d32-df26b4244107,Oct-24
39,f877f1b2-8cae-4711-84a6-65b34c329bb1,Nov-23
40,c79f0623-bd61-4182-8481-3f01795ec5c7,13-23:30
41,e49e1035-e47a-4a86-aff1-f9a7941a4c8b,Dec-23
42,3acfda35-4f6f-4876-b6ff-563e152d6f69,Oct-23
43,6dd07e3a-8180-46c4-9288-068748d36cde,Nov-23
44,12498551-99c3-494a-baa9-8860f63a3b02,10:30-23:45
45,da86a26e-8e02-4023-83ec-651b0312d071,Dec-24
46,e14a62c9-638c-43d4-8c00-bddf4ea4ddee,Nov-24
47,c4737184-4426-4a11-bb26-435bbe58184c,Nov-24
48,1c30aa22-9c1a-4404-8c68-c46b5f1736e1,11:30-24
49,492f615f-aafb-40b9-8315-0a2a8fa4af3a,Nov-23
50,e489527a-7170-455d-a445-790daf089579,Dec-24
51,b7d98dba-3b86-40e7-9d1a-108c7c0589de,Oct-23
52,4e6d5a9d-de4b-4672-af6c-4994acfb4a63,11:30-24
53,dcb56de6-f17e-4543-be44-916ba7c4e81f,رستوران
54,cc7c03c0-b4b9-4067-9154-84605cae39b8,Dec-24
55,f1ad2ef1-f0b7-43ef-9a2e-0e7f4e2cd28d,Dec-23
56,3b39c55b-0908-4e95-9086-89b7c0fc3a58,Nov-23
57,d5160628-6781-4b8e-afc8-ca6bf6809734,19-24
58,03aa592c-680c-4f34-b801-91f1482561c5,19-23:30
59,c77b5aca-214c-4879-98a3-9468e0a3abb0,11:45-23:45
60,8b29d6e3-7262-4894-a272-0a7b710ab51d,Nov-24
61,f8a7d28c-5a89-4059-a58d-4eb3b00298f3,19-23:30
62,9d52ebce-a204-4a7c-aea0-79c3a82bf80e,Nov-24
63,654047e9-ede0-461d-b72c-223d4a854250,8:30-23:30
64,ce1b9a6f-1537-4cc9-b6d2-755985dcc6cc,Dec-24
65,53163e8c-001c-4e61-9858-0fae8a56ba7b,18-24
66,69728a74-dec3-42c7-a2b4-a9419e5be2e9,19-23
67,b0ad0725-bcab-49bf-a98b-583800a21c47,Dec-23
68,25036b46-c096-4950-8ee9-bcf27d5535c5,10:30-23:30
69,8419508f-d816-4cf8-95a3-f75adb6b9038,10-23:30
70,09443d91-c248-4d0d-be90-1018940732f2,10-23:30
71,5ef12e44-9ab1-49f6-b701-b21287ea6ef2,Nov-24
72,ad17203c-ec0e-4588-820d-dc1147d28f1d,Nov-24
73,38c7e926-9e62-453b-b0ae-33f4dde1958a,Nov-24
74,8bf181a2-c16b-424a-8f01-2814c2f22650,13-23:30
75,abfaa26e-e4b1-4696-8d7d-c67d562f2203,Nov-24
76,acf612fb-0aec-4115-ab64-a0fceeaa85b6,Sep-22
77,13090cb4-1eea-4311-a950-bb3ca2245b50,Sep-22
78,b0b0f7c4-0070-49e0-b425-98fbca05fc74,11:30-23:45
79,7f913ec4-56d7-4bfd-88cb-1ea50eb88efa,Sep-22
80,7cb3eaa1-0252-462a-8776-744d8d3cd4ad,Aug-23
81,ccdf76f8-f771-428f-b744-300d23c61d64,Sep-24
82,811d76e0-a719-4e0e-b62b-242cfd8032f5,Dec-23
83,156348a6-2877-4d1c-99c3-b2a9820c30dd,Dec-22
84,77c0b26b-6919-4fe6-aae1-de09b3bc5ae5,Nov-24
85,9a7830ef-be30-4278-bf06-76f0077c7b5c,Dec-23
86,edb5ef5f-e6ac-482e-83ec-813d7d247106,7:30-23
87,adc4d673-b47b-4732-b787-80f03308add5,Nov-24
88,52dc8bad-b40b-469e-ac01-877a84b8f9c8,Nov-24
