,Unnamed: 0,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8
0,0,2b34fe76-5a2a-4af5-ba40-8e63f5d164eb,ترنم (مشهد),https://2.fidilio.com/storage/images/thumbs/2b34fe76-5a2a-4af5-ba40-8e63f5d164eb_0.jpg,[1],['ایرانی'],36.2977867,59.59959,False,2.400000095367432,2,مشهد.خیابان دانشگاه بین دانشگاه 6 و 8,False,مشهد,False,radmashhad,False,1,0,0,0,0,0,0,0
1,1,0ca88ab2-9479-4432-b6c2-ae19fb1a1497,گشنیز,https://2.fidilio.com/storage/Images/thumbs/d804c3cf-71b9-4cee-bb51-c20d1c9b4d53.jpg,[1],"['پیتزایی', 'ساندویچی', 'برگر']",36.297966,59.585907,False,5.300000190734863,2, خیابان ابن سینا - بین پاستور و ابن سینا ۱۶,False,مشهد,False,geshniz_mashhad,False,1,0,0,0,0,0,0,0
2,2,fdee0044-9b18-40bc-bac9-bdccf9613a9a,پسران کریم(برج آلتون),https://2.fidilio.com/storage/images/thumbs/fdee0044-9b18-40bc-bac9-bdccf9613a9a_0.jpg,[1],['ایرانی'],36.2943344,59.59358,False,8.300000190734863,2,خیابان دانشگاه ، برج آلتون ,False,مشهد,False,pesarankarimborjealton,False,1,0,0,0,0,0,0,0
3,3,34c7304e-83cd-4f44-8aa4-29d38824dea5,شبهای لبنان,https://2.fidilio.com/storage/images/thumbs/34c7304e-83cd-4f44-8aa4-29d38824dea5_0.jpg,[1],['لبنانی'],36.2954254,59.6124,False,8.699999809265137,2,چهارراه شهدا، نبش بهجت 3,False,مشهد,False,lebnonnights-mashhad,False,1,0,0,0,0,0,0,0
4,4,e1bca96f-9984-46ee-b76c-d26603064f79,آس برگر,https://2.fidilio.com/storage/images/thumbs/e1bca96f-9984-46ee-b76c-d26603064f79_0.jpg,[1],['فست فود'],36.316433,59.57717,False,8.0,2, بلوار قاضی طباطبایی ، نبش قاضی طباطبایی 4,False,مشهد,False,aceburger-mashhad,False,1,0,0,0,0,0,0,0
5,5,0b6d23b3-c5fc-4489-8dd6-27847e95a14e,ارغوان,https://2.fidilio.com/storage/images/thumbs/0b6d23b3-c5fc-4489-8dd6-27847e95a14e_0.jpg,[1],"['کبابی', 'ایرانی']",36.30812,59.5736847,False,6.699999809265137,2,ابتدای بلوار شهید صادقی، بعد از میدان راهنمایی ، بلوار سازمان آب,False,مشهد,False,arghavanmashhad,False,1,0,0,0,0,0,0,0
6,6,eaf92ca1-9350-4243-9d28-9a93e51fe43b,نسیم لبنانی (مشهد),https://2.fidilio.com/storage/Images/thumbs/5e01fd1c-d289-421f-920f-db2f2e147ec2.jpg,[1],['عربی'],36.29186,59.6129532,False,6.0,2,"سه راه ادبیات، رو‌به‌روی جهاد دانشگاهی مشهد

",False,مشهد,False,nasimlobnani,False,1,0,0,0,0,0,0,0
7,7,86d93c44-ea32-4770-a8e5-d3a84e261fb7,معین درباری,https://2.fidilio.com/storage/images/thumbs/86d93c44-ea32-4770-a8e5-d3a84e261fb7_0.jpg,[1],['ایرانی'],36.2878876,59.5968552,False,5.300000190734863,2,خیابان پاسداران (جم) ، بین ۲ و ۴ ،  مقابل هتل باختر ,False,مشهد,False,moeendarbari,False,1,0,0,0,0,0,0,0
8,8,174ef6fe-70ac-4ed8-a182-b432374dee33,رضایی (مشهد),https://2.fidilio.com/storage/Images/thumbs/1604c7ba-72a0-4e11-985d-2da2fc921a45.jpg,[1],['ایرانی'],36.28805,59.60422,False,8.100000381469727,2,خیابان آخوند خراسانی، جلوتر از میدان گنبد سبز، نرسیده به اخوند خراسانی، ۱۰.۱,False,مشهد,False,rezaei_mashhad,False,1,0,0,0,0,0,0,0
9,9,a9392fdd-3d58-4244-b968-07685e8c6746,نارمک,https://2.fidilio.com/storage/images/thumbs/a9392fdd-3d58-4244-b968-07685e8c6746_0.jpg,[1],['ایرانی'],36.2961121,59.57443,False,7.400000095367432,2,مشهد،احمداباد مقابل هتل هما،سالن طبقه بالا,False,مشهد,False,narmakmashhad,False,1,0,0,0,0,0,0,0
